Date,Open,High,Low,Close,Adj Close,Volume
29/05/2019,466.439209,483.80661,458.996033,476.363434,430.966431,5479312
30/05/2019,476.363434,476.363434,476.363434,476.363434,430.966431,0
31/05/2019,471.401337,501.174042,471.401337,476.363434,430.966431,9132186
03/06/2019,476.363434,476.363434,476.363434,476.363434,430.966431,0
04/06/2019,476.363434,476.363434,476.363434,476.363434,430.966431,0
05/06/2019,476.363434,476.363434,476.363434,476.363434,430.966431,0
06/06/2019,476.363434,476.363434,476.363434,476.363434,430.966431,0
07/06/2019,476.363434,476.363434,476.363434,476.363434,430.966431,0
10/06/2019,478.844513,501.174042,478.844513,498.692963,451.167999,6032301
11/06/2019,498.692963,501.174042,486.287689,496.211914,448.92334,1165832
12/06/2019,496.211914,501.174042,491.249786,498.692963,451.167999,1146284
13/06/2019,501.174042,521.022522,496.211914,513.579346,464.635651,7023208
14/06/2019,513.579346,518.541443,501.174042,501.174042,453.412567,1060635
17/06/2019,506.136169,513.579346,483.80661,483.80661,437.700317,3873345
18/06/2019,483.80661,496.211914,483.80661,493.730865,446.678741,1906645
19/06/2019,496.211914,501.174042,493.730865,496.211914,448.92334,4594811
20/06/2019,496.211914,498.692963,486.287689,493.730865,446.678741,2926572
21/06/2019,491.249786,498.692963,491.249786,491.249786,444.434143,1005215
24/06/2019,491.249786,496.211914,488.768738,488.768738,442.189514,1001789
25/06/2019,491.249786,496.211914,486.287689,496.211914,448.92334,7924033
26/06/2019,496.211914,498.692963,496.211914,496.211914,448.92334,1275261
27/06/2019,496.211914,503.65509,496.211914,503.65509,455.657227,1873997
28/06/2019,503.65509,506.136169,496.211914,498.692963,451.167999,1424592
01/07/2019,498.692963,501.174042,493.730865,496.211914,448.92334,4923501
02/07/2019,496.211914,503.65509,493.730865,493.730865,446.678741,4605895
03/07/2019,493.730865,501.174042,491.249786,491.249786,444.434143,3082150
04/07/2019,493.730865,496.211914,488.768738,491.249786,444.434143,1375420
05/07/2019,496.211914,496.211914,486.287689,486.287689,439.944916,2169637
08/07/2019,486.287689,493.730865,486.287689,493.730865,446.678741,4108526
09/07/2019,496.211914,501.174042,493.730865,496.211914,448.92334,5878939
10/07/2019,496.211914,503.65509,496.211914,496.211914,448.92334,1981411
11/07/2019,496.211914,498.692963,493.730865,496.211914,448.92334,3518254
12/07/2019,496.211914,496.211914,486.287689,491.249786,444.434143,5190524
15/07/2019,491.249786,496.211914,486.287689,486.287689,439.944916,2631133
16/07/2019,486.287689,496.211914,486.287689,491.249786,444.434143,2465478
17/07/2019,496.211914,496.211914,486.287689,491.249786,444.434143,5656051
18/07/2019,491.249786,493.730865,486.287689,493.730865,446.678741,3452960
19/07/2019,493.730865,496.211914,486.287689,491.249786,444.434143,1047737
22/07/2019,491.249786,493.730865,486.287689,488.768738,442.189514,1324837
23/07/2019,488.768738,501.174042,488.768738,498.692963,451.167999,8065102
24/07/2019,498.692963,513.579346,498.692963,511.098267,462.391083,9938697
25/07/2019,516.060364,521.022522,498.692963,506.136169,457.901825,5085730
26/07/2019,506.136169,508.617218,491.249786,496.211914,448.92334,3928563
29/07/2019,501.174042,501.174042,488.768738,501.174042,453.412567,3612166
